Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,date,sleep_efficiency,in_bed_gap,sleep_hours,sleep_band,weekday
1503960366,2016-04-12 00:00:00,1.0,327.0,346.0,2016-04-12,0.9450867052023122,19.0,5.45,<7 h,Tuesday
1503960366,2016-04-13 00:00:00,2.0,384.0,407.0,2016-04-13,0.9434889434889435,23.0,6.4,<7 h,Wednesday
1503960366,2016-04-15 00:00:00,1.0,412.0,442.0,2016-04-15,0.9321266968325792,30.0,6.866666666666666,<7 h,Friday
1503960366,2016-04-16 00:00:00,2.0,340.0,367.0,2016-04-16,0.9264305177111717,27.0,5.666666666666667,<7 h,Saturday
1503960366,2016-04-17 00:00:00,1.0,700.0,712.0,2016-04-17,0.9831460674157303,12.0,11.666666666666666,9+ h,Sunday
1503960366,2016-04-19 00:00:00,1.0,304.0,320.0,2016-04-19,0.95,16.0,5.066666666666666,<7 h,Tuesday
1503960366,2016-04-20 00:00:00,1.0,360.0,377.0,2016-04-20,0.9549071618037135,17.0,6.0,<7 h,Wednesday
1503960366,2016-04-21 00:00:00,1.0,325.0,364.0,2016-04-21,0.8928571428571429,39.0,5.416666666666667,<7 h,Thursday
1503960366,2016-04-23 00:00:00,1.0,361.0,384.0,2016-04-23,0.9401041666666666,23.0,6.016666666666667,<7 h,Saturday
1503960366,2016-04-24 00:00:00,1.0,430.0,449.0,2016-04-24,0.9576837416481069,19.0,7.166666666666667,7 to <9 h,Sunday
1503960366,2016-04-25 00:00:00,1.0,277.0,323.0,2016-04-25,0.8575851393188855,46.0,4.616666666666666,<7 h,Monday
1503960366,2016-04-26 00:00:00,1.0,245.0,274.0,2016-04-26,0.8941605839416058,29.0,4.083333333333333,<7 h,Tuesday
1503960366,2016-04-28 00:00:00,1.0,366.0,393.0,2016-04-28,0.9312977099236641,27.0,6.1,<7 h,Thursday
1503960366,2016-04-29 00:00:00,1.0,341.0,354.0,2016-04-29,0.963276836158192,13.0,5.683333333333334,<7 h,Friday
1503960366,2016-04-30 00:00:00,1.0,404.0,425.0,2016-04-30,0.9505882352941176,21.0,6.733333333333333,<7 h,Saturday
1503960366,2016-05-01 00:00:00,1.0,369.0,396.0,2016-05-01,0.9318181818181818,27.0,6.15,<7 h,Sunday
