table_name,column_name,storage_type,null_rows,negative_rows
dailyActivity,Id,INTEGER,0,0
dailyActivity,ActivityDate,TEXT,0,0
dailyActivity,TotalSteps,REAL,0,0
dailyActivity,TotalDistance,REAL,0,0
dailyActivity,TrackerDistance,REAL,0,0
dailyActivity,LoggedActivitiesDistance,REAL,0,0
dailyActivity,VeryActiveDistance,REAL,0,0
dailyActivity,ModeratelyActiveDistance,REAL,0,0
dailyActivity,LightActiveDistance,REAL,0,0
dailyActivity,SedentaryActiveDistance,REAL,0,0
dailyActivity,VeryActiveMinutes,REAL,0,0
dailyActivity,FairlyActiveMinutes,REAL,0,0
dailyActivity,LightlyActiveMinutes,REAL,0,0
dailyActivity,SedentaryMinutes,REAL,0,0
dailyActivity,Calories,REAL,0,0
dailyCalories,Id,INTEGER,0,0
dailyCalories,ActivityDay,TEXT,0,0
dailyCalories,Calories,REAL,0,0
dailyIntensities,Id,INTEGER,0,0
dailyIntensities,ActivityDay,TEXT,0,0
dailyIntensities,SedentaryMinutes,REAL,0,0
dailyIntensities,LightlyActiveMinutes,REAL,0,0
dailyIntensities,FairlyActiveMinutes,REAL,0,0
dailyIntensities,VeryActiveMinutes,REAL,0,0
dailyIntensities,SedentaryActiveDistance,REAL,0,0
dailyIntensities,LightActiveDistance,REAL,0,0
dailyIntensities,ModeratelyActiveDistance,REAL,0,0
dailyIntensities,VeryActiveDistance,REAL,0,0
dailySteps,Id,INTEGER,0,0
dailySteps,ActivityDay,TEXT,0,0
dailySteps,StepTotal,REAL,0,0
heartrate_seconds,Id,INTEGER,0,0
heartrate_seconds,Time,TEXT,0,0
heartrate_seconds,Value,REAL,0,0
hourlyCalories,Id,INTEGER,0,0
hourlyCalories,ActivityHour,TEXT,0,0
hourlyCalories,Calories,REAL,0,0
hourlyIntensities,Id,INTEGER,0,0
hourlyIntensities,ActivityHour,TEXT,0,0
hourlyIntensities,TotalIntensity,REAL,0,0
hourlyIntensities,AverageIntensity,REAL,0,0
hourlySteps,Id,INTEGER,0,0
hourlySteps,ActivityHour,TEXT,0,0
hourlySteps,StepTotal,REAL,0,0
minuteCaloriesNarrow,Id,INTEGER,0,0
minuteCaloriesNarrow,ActivityMinute,TEXT,0,0
minuteCaloriesNarrow,Calories,REAL,0,0
minuteCaloriesWide,Id,INTEGER,0,0
minuteCaloriesWide,ActivityHour,TEXT,0,0
minuteCaloriesWide,Calories00,REAL,0,0
minuteCaloriesWide,Calories01,REAL,0,0
minuteCaloriesWide,Calories02,REAL,0,0
minuteCaloriesWide,Calories03,REAL,0,0
minuteCaloriesWide,Calories04,REAL,0,0
minuteCaloriesWide,Calories05,REAL,0,0
minuteCaloriesWide,Calories06,REAL,0,0
minuteCaloriesWide,Calories07,REAL,0,0
minuteCaloriesWide,Calories08,REAL,0,0
minuteCaloriesWide,Calories09,REAL,0,0
minuteCaloriesWide,Calories10,REAL,0,0
minuteCaloriesWide,Calories11,REAL,0,0
minuteCaloriesWide,Calories12,REAL,0,0
minuteCaloriesWide,Calories13,REAL,0,0
minuteCaloriesWide,Calories14,REAL,0,0
minuteCaloriesWide,Calories15,REAL,0,0
minuteCaloriesWide,Calories16,REAL,0,0
minuteCaloriesWide,Calories17,REAL,0,0
minuteCaloriesWide,Calories18,REAL,0,0
minuteCaloriesWide,Calories19,REAL,0,0
minuteCaloriesWide,Calories20,REAL,0,0
minuteCaloriesWide,Calories21,REAL,0,0
minuteCaloriesWide,Calories22,REAL,0,0
minuteCaloriesWide,Calories23,REAL,0,0
minuteCaloriesWide,Calories24,REAL,0,0
minuteCaloriesWide,Calories25,REAL,0,0
minuteCaloriesWide,Calories26,REAL,0,0
minuteCaloriesWide,Calories27,REAL,0,0
minuteCaloriesWide,Calories28,REAL,0,0
minuteCaloriesWide,Calories29,REAL,0,0
minuteCaloriesWide,Calories30,REAL,0,0
minuteCaloriesWide,Calories31,REAL,0,0
minuteCaloriesWide,Calories32,REAL,0,0
minuteCaloriesWide,Calories33,REAL,0,0
minuteCaloriesWide,Calories34,REAL,0,0
minuteCaloriesWide,Calories35,REAL,0,0
minuteCaloriesWide,Calories36,REAL,0,0
minuteCaloriesWide,Calories37,REAL,0,0
minuteCaloriesWide,Calories38,REAL,0,0
minuteCaloriesWide,Calories39,REAL,0,0
minuteCaloriesWide,Calories40,REAL,0,0
minuteCaloriesWide,Calories41,REAL,0,0
minuteCaloriesWide,Calories42,REAL,0,0
minuteCaloriesWide,Calories43,REAL,0,0
minuteCaloriesWide,Calories44,REAL,0,0
minuteCaloriesWide,Calories45,REAL,0,0
minuteCaloriesWide,Calories46,REAL,0,0
minuteCaloriesWide,Calories47,REAL,0,0
minuteCaloriesWide,Calories48,REAL,0,0
minuteCaloriesWide,Calories49,REAL,0,0
minuteCaloriesWide,Calories50,REAL,0,0
minuteCaloriesWide,Calories51,REAL,0,0
minuteCaloriesWide,Calories52,REAL,0,0
minuteCaloriesWide,Calories53,REAL,0,0
minuteCaloriesWide,Calories54,REAL,0,0
minuteCaloriesWide,Calories55,REAL,0,0
minuteCaloriesWide,Calories56,REAL,0,0
minuteCaloriesWide,Calories57,REAL,0,0
minuteCaloriesWide,Calories58,REAL,0,0
minuteCaloriesWide,Calories59,REAL,0,0
minuteIntensitiesNarrow,Id,INTEGER,0,0
minuteIntensitiesNarrow,ActivityMinute,TEXT,0,0
minuteIntensitiesNarrow,Intensity,REAL,0,0
minuteIntensitiesWide,Id,INTEGER,0,0
minuteIntensitiesWide,ActivityHour,TEXT,0,0
minuteIntensitiesWide,Intensity00,REAL,0,0
minuteIntensitiesWide,Intensity01,REAL,0,0
minuteIntensitiesWide,Intensity02,REAL,0,0
minuteIntensitiesWide,Intensity03,REAL,0,0
minuteIntensitiesWide,Intensity04,REAL,0,0
minuteIntensitiesWide,Intensity05,REAL,0,0
minuteIntensitiesWide,Intensity06,REAL,0,0
minuteIntensitiesWide,Intensity07,REAL,0,0
minuteIntensitiesWide,Intensity08,REAL,0,0
minuteIntensitiesWide,Intensity09,REAL,0,0
minuteIntensitiesWide,Intensity10,REAL,0,0
minuteIntensitiesWide,Intensity11,REAL,0,0
minuteIntensitiesWide,Intensity12,REAL,0,0
minuteIntensitiesWide,Intensity13,REAL,0,0
minuteIntensitiesWide,Intensity14,REAL,0,0
minuteIntensitiesWide,Intensity15,REAL,0,0
minuteIntensitiesWide,Intensity16,REAL,0,0
minuteIntensitiesWide,Intensity17,REAL,0,0
minuteIntensitiesWide,Intensity18,REAL,0,0
minuteIntensitiesWide,Intensity19,REAL,0,0
minuteIntensitiesWide,Intensity20,REAL,0,0
minuteIntensitiesWide,Intensity21,REAL,0,0
minuteIntensitiesWide,Intensity22,REAL,0,0
minuteIntensitiesWide,Intensity23,REAL,0,0
minuteIntensitiesWide,Intensity24,REAL,0,0
minuteIntensitiesWide,Intensity25,REAL,0,0
minuteIntensitiesWide,Intensity26,REAL,0,0
minuteIntensitiesWide,Intensity27,REAL,0,0
minuteIntensitiesWide,Intensity28,REAL,0,0
minuteIntensitiesWide,Intensity29,REAL,0,0
minuteIntensitiesWide,Intensity30,REAL,0,0
minuteIntensitiesWide,Intensity31,REAL,0,0
minuteIntensitiesWide,Intensity32,REAL,0,0
minuteIntensitiesWide,Intensity33,REAL,0,0
minuteIntensitiesWide,Intensity34,REAL,0,0
minuteIntensitiesWide,Intensity35,REAL,0,0
minuteIntensitiesWide,Intensity36,REAL,0,0
minuteIntensitiesWide,Intensity37,REAL,0,0
minuteIntensitiesWide,Intensity38,REAL,0,0
minuteIntensitiesWide,Intensity39,REAL,0,0
minuteIntensitiesWide,Intensity40,REAL,0,0
minuteIntensitiesWide,Intensity41,REAL,0,0
minuteIntensitiesWide,Intensity42,REAL,0,0
minuteIntensitiesWide,Intensity43,REAL,0,0
minuteIntensitiesWide,Intensity44,REAL,0,0
minuteIntensitiesWide,Intensity45,REAL,0,0
minuteIntensitiesWide,Intensity46,REAL,0,0
minuteIntensitiesWide,Intensity47,REAL,0,0
minuteIntensitiesWide,Intensity48,REAL,0,0
minuteIntensitiesWide,Intensity49,REAL,0,0
minuteIntensitiesWide,Intensity50,REAL,0,0
minuteIntensitiesWide,Intensity51,REAL,0,0
minuteIntensitiesWide,Intensity52,REAL,0,0
minuteIntensitiesWide,Intensity53,REAL,0,0
minuteIntensitiesWide,Intensity54,REAL,0,0
minuteIntensitiesWide,Intensity55,REAL,0,0
minuteIntensitiesWide,Intensity56,REAL,0,0
minuteIntensitiesWide,Intensity57,REAL,0,0
minuteIntensitiesWide,Intensity58,REAL,0,0
minuteIntensitiesWide,Intensity59,REAL,0,0
minuteMETsNarrow,Id,INTEGER,0,0
minuteMETsNarrow,ActivityMinute,TEXT,0,0
minuteMETsNarrow,METs,REAL,0,0
minuteSleep,Id,INTEGER,0,0
minuteSleep,date,TEXT,0,0
minuteSleep,value,REAL,0,0
minuteSleep,logId,INTEGER,0,0
minuteStepsNarrow,Id,INTEGER,0,0
minuteStepsNarrow,ActivityMinute,TEXT,0,0
minuteStepsNarrow,Steps,REAL,0,0
minuteStepsWide,Id,INTEGER,0,0
minuteStepsWide,ActivityHour,TEXT,0,0
minuteStepsWide,Steps00,REAL,0,0
minuteStepsWide,Steps01,REAL,0,0
minuteStepsWide,Steps02,REAL,0,0
minuteStepsWide,Steps03,REAL,0,0
minuteStepsWide,Steps04,REAL,0,0
minuteStepsWide,Steps05,REAL,0,0
minuteStepsWide,Steps06,REAL,0,0
minuteStepsWide,Steps07,REAL,0,0
minuteStepsWide,Steps08,REAL,0,0
minuteStepsWide,Steps09,REAL,0,0
minuteStepsWide,Steps10,REAL,0,0
minuteStepsWide,Steps11,REAL,0,0
minuteStepsWide,Steps12,REAL,0,0
minuteStepsWide,Steps13,REAL,0,0
minuteStepsWide,Steps14,REAL,0,0
minuteStepsWide,Steps15,REAL,0,0
minuteStepsWide,Steps16,REAL,0,0
minuteStepsWide,Steps17,REAL,0,0
minuteStepsWide,Steps18,REAL,0,0
minuteStepsWide,Steps19,REAL,0,0
minuteStepsWide,Steps20,REAL,0,0
minuteStepsWide,Steps21,REAL,0,0
minuteStepsWide,Steps22,REAL,0,0
minuteStepsWide,Steps23,REAL,0,0
minuteStepsWide,Steps24,REAL,0,0
minuteStepsWide,Steps25,REAL,0,0
minuteStepsWide,Steps26,REAL,0,0
minuteStepsWide,Steps27,REAL,0,0
minuteStepsWide,Steps28,REAL,0,0
minuteStepsWide,Steps29,REAL,0,0
minuteStepsWide,Steps30,REAL,0,0
minuteStepsWide,Steps31,REAL,0,0
minuteStepsWide,Steps32,REAL,0,0
minuteStepsWide,Steps33,REAL,0,0
minuteStepsWide,Steps34,REAL,0,0
minuteStepsWide,Steps35,REAL,0,0
minuteStepsWide,Steps36,REAL,0,0
minuteStepsWide,Steps37,REAL,0,0
minuteStepsWide,Steps38,REAL,0,0
minuteStepsWide,Steps39,REAL,0,0
minuteStepsWide,Steps40,REAL,0,0
minuteStepsWide,Steps41,REAL,0,0
minuteStepsWide,Steps42,REAL,0,0
minuteStepsWide,Steps43,REAL,0,0
minuteStepsWide,Steps44,REAL,0,0
minuteStepsWide,Steps45,REAL,0,0
minuteStepsWide,Steps46,REAL,0,0
minuteStepsWide,Steps47,REAL,0,0
minuteStepsWide,Steps48,REAL,0,0
minuteStepsWide,Steps49,REAL,0,0
minuteStepsWide,Steps50,REAL,0,0
minuteStepsWide,Steps51,REAL,0,0
minuteStepsWide,Steps52,REAL,0,0
minuteStepsWide,Steps53,REAL,0,0
minuteStepsWide,Steps54,REAL,0,0
minuteStepsWide,Steps55,REAL,0,0
minuteStepsWide,Steps56,REAL,0,0
minuteStepsWide,Steps57,REAL,0,0
minuteStepsWide,Steps58,REAL,0,0
minuteStepsWide,Steps59,REAL,0,0
sleepDay,Id,INTEGER,0,0
sleepDay,SleepDay,TEXT,0,0
sleepDay,TotalSleepRecords,REAL,0,0
sleepDay,TotalMinutesAsleep,REAL,0,0
sleepDay,TotalTimeInBed,REAL,0,0
weightLogInfo,Id,INTEGER,0,0
weightLogInfo,Date,TEXT,0,0
weightLogInfo,WeightKg,REAL,0,0
weightLogInfo,WeightPounds,REAL,0,0
weightLogInfo,Fat,REAL,65,0
weightLogInfo,BMI,REAL,0,0
weightLogInfo,IsManualReport,INTEGER,0,0
weightLogInfo,LogId,INTEGER,0,0
