Id,bpm_band,samples,observed_seconds,long_gaps
2022484408,100-139,17530,128892.0,8
2022484408,140+,1937,14370.0,0
2022484408,60-99,125511,1031521.0,105
2022484408,<60,9126,86124.0,6
2026352035,100-139,903,8265.0,1
2026352035,60-99,1587,16700.0,14
2347167796,100-139,11943,73319.0,4
2347167796,140+,1199,4329.0,0
2347167796,60-99,133169,1204414.0,56
2347167796,<60,6372,65785.0,10
4020332650,100-139,33010,74490.0,16
4020332650,140+,427,1145.0,1
4020332650,60-99,229138,537402.0,76
4020332650,<60,22886,55241.0,5
4388161847,100-139,7344,45727.0,3
4388161847,140+,1841,6780.0,0
4388161847,60-99,142361,1220263.0,34
4388161847,<60,98202,1011940.0,4
4558609924,100-139,16979,81566.0,14
4558609924,140+,601,3120.0,1
4558609924,60-99,168653,1438846.0,206
4558609924,<60,5935,61043.0,7
5553957443,100-139,14288,38748.0,0
5553957443,140+,426,1233.0,0
5553957443,60-99,180202,1688025.0,54
5553957443,<60,60258,675397.0,22
5577150313,100-139,31867,196566.0,11
5577150313,140+,888,4654.0,1
5577150313,60-99,112387,886473.0,33
5577150313,<60,103418,994220.0,46
6117666160,100-139,20403,160909.0,11
6117666160,140+,268,1625.0,0
6117666160,60-99,133821,1273615.0,70
6117666160,<60,4407,45780.0,2
6775888955,100-139,11885,94580.0,25
6775888955,140+,55,480.0,3
6775888955,60-99,20725,203540.0,87
6775888955,<60,106,1120.0,0
6962181067,100-139,26004,127853.0,6
6962181067,140+,1984,4255.0,0
6962181067,60-99,226474,2219051.0,37
6962181067,<60,11864,136945.0,0
7007744171,100-139,35839,273920.0,33
7007744171,140+,298,2060.0,0
7007744171,60-99,97406,920420.0,80
7007744171,<60,49,525.0,0
8792009665,100-139,6177,46220.0,10
8792009665,140+,6,40.0,0
8792009665,60-99,97203,936945.0,97
8792009665,<60,19455,211720.0,8
8877689391,100-139,19743,74249.0,4
8877689391,140+,25162,62446.0,0
8877689391,60-99,152999,1233297.0,100
8877689391,<60,30937,264191.0,13
