Id,days_logged,first_date,last_date,valid_days,mean_steps,mean_active,mean_sedentary,mean_calories,mean_active_share,engagement_score,rule_segment,sleep_logger,mean_sleep,sleep_days,cluster,persona
1503960366,31,2016-04-12,2016-05-12,30,12520.633333333333,287.06666666666666,828.4333333333333,1876.9666666666667,0.2622566115173489,96.7741935483871,Keep momentum,True,360.28,25.0,1,Routine builders
1624580081,31,2016-04-12,2016-05-12,31,5743.903225806452,167.96774193548387,1257.741935483871,1483.3548387096773,0.11770931072788257,100.0,Build routine,False,,,0,Gentle starters
1644430081,30,2016-04-12,2016-05-11,30,7282.966666666666,209.4,1161.8666666666666,2811.3,0.15265700209039146,96.7741935483871,Build routine,True,294.0,4.0,0,Gentle starters
1844505072,31,2016-04-12,2016-05-12,18,4440.333333333333,201.05555555555554,1078.7777777777778,1774.5,0.1721831935209775,58.064516129032256,Reconnect,True,652.0,3.0,0,Gentle starters
1927972279,31,2016-04-12,2016-05-12,17,1670.5882352941176,74.17647058823529,1244.3529411764705,2303.0588235294117,0.05677954729192889,54.83870967741935,Reconnect,True,417.0,5.0,0,Gentle starters
2022484408,31,2016-04-12,2016-05-12,31,11370.645161290322,313.0967741935484,1112.5806451612902,2509.967741935484,0.2201046119963726,100.0,Keep momentum,False,,,1,Routine builders
2026352035,31,2016-04-12,2016-05-12,31,5566.870967741936,257.0,689.4193548387096,1540.6451612903227,0.27825606422581156,100.0,Build routine,True,506.17857142857144,28.0,1,Routine builders
2320127002,31,2016-04-12,2016-05-12,31,4716.870967741936,202.1290322580645,1220.0967741935483,1724.1612903225807,0.14208289126669532,100.0,Build routine,True,61.0,1.0,0,Gentle starters
2347167796,18,2016-04-12,2016-04-29,17,10077.176470588236,303.1764705882353,727.4705882352941,2139.9411764705883,0.2958816980543183,54.83870967741935,Reconnect,True,446.8,15.0,1,Routine builders
2873212765,31,2016-04-12,2016-05-12,31,7555.774193548387,328.2258064516129,1097.1935483870968,1916.967741935484,0.23068116683354375,100.0,Keep momentum,False,,,1,Routine builders
3372868164,20,2016-04-12,2016-05-01,20,6861.65,341.15,1077.55,1933.1,0.23941876232741616,64.51612903225806,Reconnect,False,,,0,Gentle starters
3977333714,30,2016-04-12,2016-05-11,30,10984.566666666668,254.93333333333334,707.5333333333333,1513.6666666666667,0.2738732140298873,96.7741935483871,Keep momentum,True,293.64285714285717,28.0,1,Routine builders
4020332650,31,2016-04-12,2016-05-12,15,4680.4,180.53333333333333,1021.2666666666667,2816.9333333333334,0.1601419324803658,48.38709677419355,Reconnect,True,349.375,8.0,0,Gentle starters
4057192912,4,2016-04-12,2016-04-15,3,5117.333333333333,140.33333333333334,1143.0,2039.6666666666667,0.10833333333333334,9.67741935483871,Reconnect,False,,,0,Gentle starters
4319703577,31,2016-04-12,2016-05-12,28,7769.107142857143,270.7142857142857,714.5357142857143,2119.0,0.2807602539119952,90.3225806451613,Keep momentum,True,476.65384615384613,26.0,1,Routine builders
4388161847,31,2016-04-12,2016-05-12,30,10837.0,281.96666666666664,816.5666666666667,3098.5,0.2639565516468027,96.7741935483871,Keep momentum,True,400.17391304347825,23.0,1,Routine builders
4445114986,31,2016-04-12,2016-05-12,31,4796.548387096775,217.4516129032258,829.9032258064516,2186.1935483870966,0.21104644249700305,100.0,Build routine,True,385.17857142857144,28.0,1,Routine builders
