Id,study_week,valid_days,moderate_equivalent,moderate_minutes,who_proxy,moderate_only_flag
1503960366,1,7,565.0,123.0,1.0,0.0
1503960366,2,7,750.0,118.0,1.0,0.0
1503960366,3,7,756.0,158.0,1.0,1.0
1503960366,4,7,705.0,141.0,1.0,0.0
1624580081,1,7,93.0,29.0,0.0,0.0
1624580081,2,7,50.0,18.0,0.0,0.0
1624580081,3,7,575.0,133.0,1.0,0.0
1624580081,4,7,0.0,0.0,0.0,0.0
1644430081,1,7,487.0,217.0,1.0,1.0
1644430081,2,7,100.0,74.0,0.0,0.0
1644430081,3,7,250.0,196.0,1.0,1.0
1644430081,4,7,335.0,135.0,1.0,0.0
1844505072,1,7,24.0,20.0,0.0,0.0
1844505072,2,4,17.0,13.0,,
1844505072,3,4,7.0,7.0,,
1844505072,4,3,0.0,0.0,,
1927972279,1,5,9.0,9.0,,
1927972279,2,4,8.0,6.0,,
1927972279,3,4,69.0,9.0,,
1927972279,4,4,20.0,0.0,,
2022484408,1,7,596.0,74.0,1.0,0.0
2022484408,2,7,799.0,167.0,1.0,1.0
2022484408,3,7,513.0,163.0,1.0,1.0
2022484408,4,7,611.0,127.0,1.0,0.0
2026352035,1,7,14.0,8.0,0.0,0.0
2026352035,2,7,0.0,0.0,0.0,0.0
2026352035,3,7,0.0,0.0,0.0,0.0
2026352035,4,7,0.0,0.0,0.0,0.0
2320127002,1,7,42.0,16.0,0.0,0.0
2320127002,2,7,45.0,37.0,0.0,0.0
2320127002,3,7,16.0,6.0,0.0,0.0
2320127002,4,7,61.0,21.0,0.0,0.0
2347167796,1,7,466.0,212.0,1.0,1.0
2347167796,2,7,329.0,149.0,1.0,0.0
2347167796,3,3,61.0,9.0,,
2873212765,1,7,144.0,44.0,0.0,0.0
2873212765,2,7,309.0,21.0,1.0,0.0
2873212765,3,7,296.0,80.0,1.0,0.0
2873212765,4,7,315.0,45.0,1.0,0.0
3372868164,1,7,148.0,42.0,0.0,0.0
3372868164,2,7,155.0,21.0,1.0,0.0
3372868164,3,6,145.0,19.0,,
3977333714,1,7,648.0,366.0,1.0,1.0
3977333714,2,7,641.0,373.0,1.0,1.0
3977333714,3,7,712.0,380.0,1.0,1.0
3977333714,4,7,846.0,604.0,1.0,1.0
4020332650,1,4,264.0,54.0,,
