query,status,output_rows
schema,PASS,56
inventory,PASS,18
missing_invalid,PASS,259
activity_quality,PASS,1
overlap,PASS,3
drop_clean_daily_activity,PASS,0
drop_clean_sleep,PASS,0
drop_clean_weight,PASS,0
drop_hourly_activity,PASS,0
drop_user_summary,PASS,0
drop_weekly_activity,PASS,0
create_daily,PASS,0
create_sleep,PASS,0
create_weight,PASS,0
create_hourly,PASS,0
create_users,PASS,0
create_weekly,PASS,0
drop_hr_hourly,PASS,0
drop_hr_bands,PASS,0
drop_met_hourly,PASS,0
drop_minute_sleep_logs,PASS,0
create_hr_hours,PASS,0
hr_index,PASS,0
create_hr_bands,PASS,0
create_mets,PASS,0
create_sleep_logs,PASS,0
descriptive,PASS,1
step_distribution,PASS,5
user_quartiles,PASS,33
user_segments,PASS,3
weekday_weekend,PASS,2
hourly_peaks,PASS,24
sleep_activity,PASS,410
calories_intensity,PASS,5
engagement,PASS,33
weekly_retention,PASS,5
who_guideline,PASS,4
heart_rate_zones,PASS,4
weight_behavior,PASS,8
hr_intensity,PASS,5990
user_rankings,PASS,33
rolling_activity,PASS,846
multimodal_daily,PASS,846
correlation,PASS,1
insight_user_segments,PASS,3
insight_weekday_weekend,PASS,2
insight_hourly_peaks,PASS,24
insight_sleep_activity,PASS,410
insight_calories_intensity,PASS,5
insight_engagement,PASS,33
insight_weekly_retention,PASS,5
insight_who_guideline,PASS,4
insight_heart_rate_zones,PASS,4
insight_weight_behavior,PASS,8
reconciliation,PASS,1
hr_sampling_audit,PASS,723
hr_value_audit,PASS,1
minute_code_audit,PASS,3
