hour,user_hours,mean_steps,peak_rank
18,822,660.3990267639903,1
19,822,642.9537712895377,2
17,822,606.4610705596107,3
12,837,604.3584229390681,4
14,836,595.4653110047847,5
13,836,592.3684210526316,6
16,823,547.5565006075334,7
10,843,530.803084223013,8
11,842,503.0095011876485,9
9,845,477.4011834319527,10
8,845,470.9846153846154,11
15,830,447.9301204819277,12
20,822,390.0620437956204,13
21,821,339.6650426309379,14
7,845,337.1976331360947,15
22,820,262.32682926829267,16
6,845,196.6757396449704,17
23,819,134.64346764346763,18
5,845,48.38579881656805,19
0,845,46.59526627218935,20
1,845,25.49940828402367,21
2,845,18.880473372781065,22
4,845,13.986982248520711,23
3,845,7.087573964497041,24
