seconds,intervals
5.0,868956
10.0,622040
15.0,557885
3.0,245262
1.0,120929
2.0,65203
6.0,697
7.0,277
45.0,213
4.0,196
8.0,129
35.0,85
9.0,82
40.0,79
75.0,55
105.0,25
11.0,25
135.0,24
70.0,24
13.0,23
195.0,20
16.0,19
130.0,18
50.0,18
14.0,17
65.0,16
20.0,15
160.0,14
125.0,14
17.0,14
165.0,13
18.0,13
525.0,12
95.0,12
12.0,12
250.0,11
225.0,11
190.0,11
185.0,11
85.0,11
21.0,11
19.0,11
140.0,10
310.0,9
220.0,9
175.0,9
615.0,8
425.0,8
315.0,8
255.0,8
245.0,8
200.0,8
31.0,8
23.0,8
22.0,8
260.0,7
145.0,7
115.0,7
110.0,7
90.0,7
80.0,7
41.0,7
550.0,6
305.0,6
275.0,6
76.0,6
36.0,6
25.0,6
855.0,5
675.0,5
610.0,5
490.0,5
375.0,5
370.0,5
345.0,5
340.0,5
300.0,5
280.0,5
100.0,5
66.0,5
56.0,5
51.0,5
47.0,5
1900.0,4
905.0,4
885.0,4
790.0,4
785.0,4
645.0,4
505.0,4
435.0,4
430.0,4
410.0,4
385.0,4
210.0,4
205.0,4
170.0,4
155.0,4
150.0,4
55.0,4
46.0,4
38.0,4
37.0,4
24.0,4
2290.0,3
1965.0,3
1745.0,3
1570.0,3
1515.0,3
1205.0,3
1150.0,3
1060.0,3
945.0,3
925.0,3
920.0,3
860.0,3
850.0,3
760.0,3
730.0,3
705.0,3
665.0,3
575.0,3
555.0,3
495.0,3
485.0,3
415.0,3
400.0,3
350.0,3
295.0,3
290.0,3
285.0,3
270.0,3
265.0,3
230.0,3
126.0,3
101.0,3
96.0,3
61.0,3
32.0,3
30.0,3
29.0,3
27.0,3
41290.0,2
14535.0,2
5175.0,2
4810.0,2
3705.0,2
3680.0,2
3265.0,2
3195.0,2
2845.0,2
2475.0,2
2315.0,2
2110.0,2
1875.0,2
1755.0,2
1725.0,2
1640.0,2
1580.0,2
1545.0,2
1450.0,2
1415.0,2
1360.0,2
1335.0,2
1285.0,2
1275.0,2
1265.0,2
1225.0,2
1215.0,2
1145.0,2
1125.0,2
1100.0,2
1065.0,2
1045.0,2
1035.0,2
1010.0,2
985.0,2
980.0,2
975.0,2
970.0,2
935.0,2
915.0,2
910.0,2
880.0,2
800.0,2
765.0,2
740.0,2
735.0,2
700.0,2
685.0,2
670.0,2
650.0,2
635.0,2
605.0,2
590.0,2
565.0,2
530.0,2
520.0,2
460.0,2
445.0,2
440.0,2
405.0,2
390.0,2
330.0,2
320.0,2
222.0,2
221.0,2
215.0,2
206.0,2
142.0,2
141.0,2
136.0,2
122.0,2
118.0,2
116.0,2
111.0,2
106.0,2
81.0,2
74.0,2
63.0,2
52.0,2
44.0,2
39.0,2
33.0,2
28.0,2
1295111.0,1
702490.0,1
630615.0,1
582170.0,1
433670.0,1
396130.0,1
242350.0,1
204911.0,1
200210.0,1
181375.0,1
135395.0,1
126165.0,1
124971.0,1
121797.0,1
116800.0,1
111740.0,1
92115.0,1
89000.0,1
86015.0,1
67705.0,1
65382.0,1
57475.0,1
56823.0,1
56710.0,1
55750.0,1
53920.0,1
53395.0,1
53350.0,1
51975.0,1
49535.0,1
46000.0,1
45805.0,1
45430.0,1
45335.0,1
45075.0,1
44280.0,1
44240.0,1
44050.0,1
43990.0,1
43960.0,1
43905.0,1
42920.0,1
41950.0,1
41805.0,1
41595.0,1
41325.0,1
41140.0,1
40450.0,1
40155.0,1
39910.0,1
39495.0,1
39450.0,1
39370.0,1
38750.0,1
38675.0,1
38584.0,1
38440.0,1
38295.0,1
37822.0,1
37750.0,1
37155.0,1
36850.0,1
36650.0,1
36065.0,1
35930.0,1
35825.0,1
35607.0,1
35445.0,1
35345.0,1
35165.0,1
34981.0,1
34955.0,1
34945.0,1
34928.0,1
34495.0,1
34455.0,1
34450.0,1
