Id,mean_steps,engagement_score,step_rank,coverage_rank,step_percentile
8877689391,16040.032258064517,100.0,1,1,1.0
8053475328,14763.290322580646,100.0,2,1,0.96875
1503960366,12520.633333333333,96.7741935483871,3,2,0.9375
7007744171,12267.041666666666,77.41935483870968,4,6,0.90625
2022484408,11370.645161290322,100.0,5,1,0.875
3977333714,10984.566666666668,96.7741935483871,6,2,0.84375
4388161847,10837.0,96.7741935483871,7,2,0.8125
2347167796,10077.176470588236,54.83870967741935,8,11,0.78125
7086361926,10017.034482758621,93.54838709677419,9,3,0.75
6962181067,9794.806451612903,100.0,10,1,0.71875
5577150313,8897.607142857143,90.3225806451613,11,4,0.6875
4702921684,8857.8,96.7741935483871,12,2,0.65625
8378563200,8717.709677419354,100.0,13,1,0.625
5553957443,8612.58064516129,100.0,14,1,0.59375
6117666160,8578.608695652174,74.19354838709677,15,7,0.5625
4319703577,7769.107142857143,90.3225806451613,16,4,0.53125
4558609924,7685.129032258064,100.0,17,1,0.5
8583815059,7630.2,80.64516129032258,18,5,0.46875
2873212765,7555.774193548387,100.0,19,1,0.4375
1644430081,7282.966666666666,96.7741935483871,20,2,0.40625
3372868164,6861.65,64.51612903225806,21,8,0.375
8253242879,6842.277777777777,58.064516129032256,22,10,0.34375
6290855005,6826.541666666667,77.41935483870968,23,6,0.3125
1624580081,5743.903225806452,100.0,24,1,0.28125
2026352035,5566.870967741936,100.0,25,1,0.25
4057192912,5117.333333333333,9.67741935483871,26,14,0.21875
4445114986,4796.548387096775,100.0,27,1,0.1875
2320127002,4716.870967741936,100.0,28,1,0.15625
4020332650,4680.4,48.38709677419355,29,13,0.125
1844505072,4440.333333333333,58.064516129032256,30,10,0.09375
6775888955,4093.9375,51.61290322580645,31,12,0.0625
8792009665,2829.3684210526317,61.29032258064516,32,9,0.03125
1927972279,1670.5882352941176,54.83870967741935,33,11,0.0
